timestamp,power_W,gpu_util,mem_util
0.00577998161315918,29.313,0,0
0.11841487884521484,29.313,0,0
0.9814507961273193,29.313,0,0
1.1011567115783691,29.313,0,0
1.2104010581970215,29.313,0,0
3.4740262031555176,29.313,0,0
3.576915979385376,29.313,0,0
3.6819756031036377,29.313,0,0
3.7888855934143066,29.313,0,0
3.8916187286376953,29.313,0,0
3.9973909854888916,29.396,0,0
4.102382659912109,29.297,0,0
4.207079887390137,29.297,0,0
4.311070203781128,29.297,0,0
4.415400266647339,29.297,0,0
4.521329879760742,29.396,0,0
4.625680923461914,29.297,0,0
4.741038799285889,29.297,0,0
4.847499847412109,29.297,0,0
4.956380367279053,29.412,0,0
5.0594096183776855,29.396,0,0
5.166709899902344,29.313,0,0
5.27843451499939,29.313,0,0
5.383717060089111,29.313,0,0
5.48804235458374,29.313,0,0
5.593409061431885,29.297,0,0
5.699437379837036,29.297,0,0
5.817383050918579,29.313,0,0
5.928283214569092,29.313,0,0
6.0473902225494385,29.808,0,0
6.15885591506958,29.412,0,0
6.276384353637695,29.313,0,0
6.388605356216431,29.313,0,0
6.5070741176605225,29.412,0,0
6.618346452713013,29.313,0,0
6.735805511474609,29.313,0,0
6.850492715835571,29.396,0,0
6.973386526107788,33.626,2,1
7.087675094604492,29.593,2,1
7.206477642059326,36.172,15,6
7.318844795227051,45.368,15,6
7.443682432174683,39.679,61,24
7.566335201263428,53.906,62,35
7.715397834777832,68.543,62,35
7.825397253036499,58.06,50,35
7.959490537643433,77.003,55,36
8.087490320205688,64.652,55,36
8.224386215209961,37.138,39,27
8.346432209014893,38.025,39,27
8.480499267578125,37.927,0,0
8.597800731658936,37.729,0,0
8.721831321716309,37.927,0,0
8.834483861923218,37.729,0,0
8.951408386230469,37.828,0,0
9.082406282424927,37.729,0,0
9.215433835983276,37.927,0,0
9.334439277648926,37.729,0,0
9.611546516418457,37.927,0,0
9.728578805923462,37.729,0,0
9.84349012374878,35.087,0,0
9.950520277023315,29.511,0,0
10.06453824043274,29.495,0,0
10.188134908676147,29.511,0,0
10.310068368911743,29.511,0,0
10.452174663543701,29.511,0,0
10.561447620391846,29.511,0,0
10.728696584701538,29.511,0,0
10.850662231445312,62.829,13,3
10.963384866714478,63.868,13,3
11.074265718460083,34.218,99,50
11.192291736602783,65.436,14,8
11.299446821212769,97.849,14,8
11.404506921768188,64.221,70,45
11.530386924743652,68.921,70,45
11.64639949798584,69.857,92,52
11.770256519317627,69.564,92,52
11.882850885391235,73.876,93,52
11.989345073699951,72.401,97,53
12.093174934387207,72.357,97,53
12.205489873886108,67.565,96,49
12.31378698348999,67.437,96,49
12.437390089035034,69.661,91,52
12.565693855285645,67.55,91,52
12.67542052268982,67.9,95,53
12.785427570343018,44.482,95,53
12.893394470214844,71.814,47,29
12.999385118484497,71.379,43,37
13.107836961746216,62.79,43,37
13.220024108886719,36.666,34,29
13.3267080783844,36.94,34,29
13.439430713653564,60.182,14,12
13.544074296951294,58.319,14,12
13.650527238845825,57.899,63,49
13.763410091400146,67.927,63,49
13.868382453918457,73.491,59,46
13.997503757476807,68.389,59,46
14.10901665687561,77.541,61,47
14.214494705200195,68.683,36,27
14.34552264213562,58.746,36,27
14.457077026367188,57.765,44,31
14.563384294509888,63.378,44,31
14.66988468170166,77.101,46,32
14.7864089012146,67.158,46,32
14.891399621963501,83.193,46,33
15.017419338226318,38.025,46,33
15.13338828086853,70.444,93,55
15.25244426727295,69.661,97,54
15.35727596282959,68.487,97,54
15.469026565551758,67.844,97,54
15.57403039932251,69.521,97,54
15.680497884750366,71.379,99,53
15.803245782852173,57.8,99,53
15.919051885604858,68.487,94,53
16.026416540145874,70.499,71,43
16.15516471862793,79.2,71,43
16.261043787002563,61.713,67,47
16.36660099029541,72.996,67,47
16.472411394119263,75.928,78,50
16.585513830184937,69.032,78,50
16.693403482437134,46.058,86,49
16.822384119033813,62.398,86,49
16.938390254974365,48.856,42,30
17.072210788726807,70.934,76,51
17.179478883743286,72.41,76,51
17.298046112060547,73.876,94,56
17.401384592056274,72.898,94,56
17.50839328765869,72.365,98,57
17.61937689781189,70.205,98,57
17.72401213645935,72.56,99,55
17.82948350906372,37.729,99,55
17.94241213798523,39.11,16,10
18.0465989112854,40.444,16,10
18.154162406921387,40.369,3,1
18.26209831237793,40.566,3,1
18.366570472717285,39.603,2,0
18.472158432006836,66.587,49,38
18.589475631713867,69.355,49,38
18.703384399414062,83.68,46,32
18.812421798706055,68.781,46,32
18.92138171195984,97.496,74,49
19.038403034210205,69.759,74,49
19.143210649490356,72.898,98,66
19.260385751724243,71.085,98,66
19.367197513580322,71.237,93,52
19.475403785705566,59.593,66,41
19.593401432037354,77.639,66,41
19.702396869659424,68.696,44,34
19.808350086212158,51.315,44,34
19.915384769439697,71.521,64,44
20.022465229034424,74.467,64,44
20.127309322357178,59.63,80,48
20.231421947479248,75.635,80,48
20.336453914642334,61.246,67,51
20.447528839111328,68.571,67,51
20.553815126419067,66.416,57,46
20.66140913963318,62.594,57,46
20.777488946914673,69.606,97,59
20.881384134292603,73.921,97,59
20.988435983657837,74.215,97,58
21.107409715652466,58.024,88,54
21.22006130218506,64.377,88,54
21.326507091522217,69.313,98,54
21.43141770362854,70.596,98,54
21.54021143913269,73.055,60,41
21.64555859565735,80.616,60,41
21.75039529800415,79.883,68,51
21.856385707855225,68.725,68,51
21.97207498550415,73.341,94,62
22.076536655426025,71.921,94,62
22.20252299308777,80.518,83,54
22.31508708000183,67.494,95,60
22.419541120529175,67.494,95,60
22.527496099472046,66.139,81,47
22.635155200958252,66.53,81,47
22.741358995437622,70.01,79,42
22.854957580566406,56.652,79,42
22.959019899368286,58.711,79,41
23.06740117073059,72.019,79,41
23.18041205406189,69.814,82,42
23.288028717041016,74.025,82,42
23.405377864837646,94.74,69,40
23.514190196990967,68.683,100,65
23.640376806259155,69.716,100,65
23.753385543823242,69.521,97,55
23.861380100250244,72.116,97,55
23.990487337112427,56.882,97,54
24.095855474472046,65.845,97,54
24.203217267990112,69.912,96,51
24.33124589920044,64.319,99,54
24.43940758705139,66.22,99,54
24.552482843399048,74.611,97,54
24.659042358398438,63.731,97,54
24.766413927078247,67.802,97,55
24.885980129241943,71.281,97,55
24.997398614883423,65.356,92,52
25.11514163017273,66.179,86,48
25.262401342391968,34.791,86,48
25.381479263305664,40.861,2,1
25.50243902206421,41.133,2,1
25.6364107131958,41.157,2,1
25.76016330718994,40.467,0,0
25.89642643928528,41.748,0,0
26.03239393234253,63.927,5,4
26.16044330596924,43.052,13,12
26.29605793952942,64.866,13,12
26.417417526245117,50.528,17,15
26.531248092651367,41.33,17,15
26.65238666534424,44.894,11,10
26.765074729919434,59.299,14,13
26.90953493118286,46.326,14,13
27.021934032440186,50.233,20,18
27.14538311958313,39.186,37,29
27.271403312683105,65.885,37,29
27.379496335983276,46.762,44,31
27.49094796180725,36.193,44,31
27.60238528251648,59.63,50,34
27.713388442993164,67.746,50,34
27.828388929367065,59.63,45,33
27.962411403656006,47.479,23,18
28.067386150360107,43.103,23,18
28.175394535064697,44.6,26,21
28.304117918014526,41.995,26,21
28.412185192108154,53.841,20,16
